group,guess,course,section
even,15,C,2
even,15,D,*
even,17,D,*
even,19,C,2
even,23,C,1
even,25,D,*
even,27,D,*
even,30,C,1
even,30,C,2
even,30,D,*
even,34,C,1
even,34,D,*
even,35,C,1
even,35,D,*
odd,35,D,*
even,36,C,2
even,37,C,1
even,38,D,*
even,42,C,1
even,45,C,1
even,46,C,1
even,48,C,1
odd,49,D,*
even,50,D,*
even,52,D,*
even,52,D,*
even,53,D,*
odd,54,D,*
odd,55,C,1
even,55,C,2
even,56,C,1
even,56,C,2
even,58,D,*
even,58,D,*
even,60,C,1
even,60,C,1
even,60,C,2
even,60,C,2
even,60,D,*
odd,62,C,2
even,62,C,1
odd,62,D,*
odd,63,D,*
even,64,C,1
even,64,C,1
even,65,C,1
even,65,C,2
even,65,C,2
odd,66,C,1
odd,67,D,*
odd,67,D,*
odd,67,D,*
odd,68,C,1
odd,68,C,1
odd,68,C,1
odd,68,C,2
odd,70,C,1
odd,70,C,1
even,70,C,1
odd,70,D,*
odd,71,D,*
odd,72,C,1
even,72,D,*
odd,73,C,2
odd,73,D,*
odd,73,D,*
even,73,D,*
even,73,D,*
odd,74,D,*
odd,74,D,*
even,75,C,1
even,76,D,*
odd,78,C,1
odd,78,C,2
odd,78,C,2
even,80,C,1
even,80,C,2
odd,80,D,*
even,80,D,*
odd,82,C,2
even,82,C,1
odd,82,D,*
odd,83,D,*
odd,83,D,*
even,84,C,2
even,84,D,*
even,84,D,*
even,85,C,2
odd,85,D,*
odd,86,C,1
odd,86,C,2
even,86,D,*
odd,86,D,*
odd,87,C,2
odd,87,D,*
odd,89,C,2
even,89,C,1
even,89,C,2
odd,89,D,*
odd,90,C,2
odd,91,C,1
odd,93,C,2
odd,93,C,2
odd,93,D,*
odd,94,C,2
even,95,D,*
odd,96,C,2
even,98,C,1
odd,102,C,2
odd,102,C,2
odd,102,D,*
odd,102,D,*
odd,114,C,1
